,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
26,DET-2015-06-13,2015-06-13,CLE,A,DET,6,1.1,0,2,0,0,0,1,0,2,0,0,1,1,2,1,0,1
27,CLE-2015-06-17,2015-06-17,CLE,H,CHC,4,1.0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,3
28,CLE-2015-06-18,2015-06-18,CLE,H,CHC,5,1.1,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0
29,CLE-2015-06-21,2015-06-21,CLE,H,TBR,4,1.0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,2
30,CLE-2015-06-24,2015-06-24,CLE,H,DET,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2
31,BAL-2015-06-28,2015-06-28,CLE,A,BAL,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
32,TBR-2015-06-30,2015-06-30,CLE,A,TBR,4,1.0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1
33,TBR-2015-07-02,2015-07-02,CLE,A,TBR,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
34,PIT-2015-07-03,2015-07-03,CLE,A,PIT,4,1.0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0
35,CLE-2015-07-08,2015-07-08,CLE,H,HOU,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,4
36,CLE-2015-07-09,2015-07-09,CLE,H,HOU,5,1.0,0,1,0,0,0,1,0,0,0,0,0,1,3,1,2,0
37,CLE-2015-07-10,2015-07-10,CLE,H,OAK,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
38,CIN-2015-07-18,2015-07-18,CLE,A,CIN,2,0.1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,7
39,CIN-2015-07-19,2015-07-19,CLE,A,CIN,7,1.1,1,3,1,0,0,0,0,3,0,0,0,0,4,3,0,0
40,MIL-2015-07-22,2015-07-22,CLE,A,MIL,5,1.0,1,3,2,0,0,0,0,1,0,0,1,2,2,2,0,2
41,CLE-2015-07-25,2015-07-25,CLE,H,CHW,2,0.1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2
42,OAK-2015-07-31,2015-07-31,CLE,A,OAK,3,1.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
43,OAK-2015-08-02,2015-08-02,CLE,A,OAK,4,0.2,1,2,1,0,0,0,0,1,0,0,0,1,2,1,1,1
44,LAA-2015-08-04,2015-08-04,CLE,A,LAA,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
45,LAA-2015-08-05,2015-08-05,CLE,A,LAA,6,0.2,3,2,0,0,0,2,0,1,0,0,0,0,3,2,0,0
46,CLE-2015-08-07,2015-08-07,CLE,H,MIN,2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
47,CLE-2015-08-11,2015-08-11,CLE,H,NYY,3,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3
48,CLE-2015-08-12,2015-08-12,CLE,H,NYY,5,1.2,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0
49,BOS-2015-08-17,2015-08-17,CLE,A,BOS,6,1.0,1,2,0,0,0,1,0,0,0,0,0,1,4,3,1,4
50,NYY-2015-08-20,2015-08-20,CLE,A,NYY,6,1.0,1,2,0,0,0,1,0,1,0,0,0,2,2,1,0,2
51,NYY-2015-08-21,2015-08-21,CLE,A,NYY,5,1.1,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0
52,NYY-2015-08-23,2015-08-23,CLE,A,NYY,4,1.1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1
53,CLE-2015-08-25,2015-08-25,CLE,H,MIL,3,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
54,CLE-2015-08-26,2015-08-26,CLE,H,MIL,4,1.0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,0,0
55,CLE-2015-08-28,2015-08-28,CLE,H,LAA,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1
56,TOR-2015-08-31,2015-08-31,CLE,A,TOR,8,1.1,0,3,1,0,0,1,1,2,0,0,0,0,5,4,1,2
57,DET-2015-09-06,2015-09-06,CLE,A,DET,3,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,5
58,CHW-2015-09-07,2015-09-07,CLE,A,CHW,4,1.0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0
59,CHW-2015-09-09,2015-09-09,CLE,A,CHW,5,1.0,1,2,1,0,0,0,0,2,0,0,0,1,2,2,0,1
60,CLE-2015-09-10,2015-09-10,CLE,H,DET,6,1.2,0,1,0,0,0,0,0,3,0,0,0,2,1,0,0,0
61,CLE-2015-09-13,2015-09-13,CLE,H,DET,5,1.0,0,1,0,0,0,1,0,0,0,0,0,1,3,3,0,2
62,CLE-2015-09-16,2015-09-16,CLE,H,KCR,4,1.0,0,1,1,0,0,0,0,2,0,0,0,1,1,1,0,2
63,CLE-2015-09-20,2015-09-20,CLE,H,CHW,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3
64,MIN-2015-09-23,2015-09-23,CLE,A,MIN,1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
65,MIN-2015-09-24,2015-09-24,CLE,A,MIN,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
66,CLE-2015-09-28,2015-09-28,CLE,H,MIN,3,0.2,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,3
67,CLE-2015-10-01,2015-10-01,CLE,H,MIN,6,1.2,0,1,0,0,0,0,0,0,0,1,1,2,4,1,0,2
68,CLE-2015-10-03,2015-10-03,CLE,H,BOS,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
69,CLE-2015-10-04,2015-10-04,CLE,H,BOS,3,1.0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
